iter	RMSE
0	9.017917707
1	8.704776339
2	8.401778774
3	8.116776819
4	7.851583833
5	7.58248002
6	7.348423012
7	7.126944869
8	6.927223234
9	6.731294746
10	6.530655956
11	6.362676425
12	6.206248679
13	6.054026915
14	5.92713233
15	5.803058294
16	5.683320319
17	5.566624256
18	5.465793676
19	5.376230692
20	5.283126036
21	5.205278783
22	5.132268548
23	5.07167398
24	5.004859194
25	4.936708599
26	4.882087556
27	4.82456467
28	4.778382153
29	4.733380801
30	4.691976368
31	4.646666769
32	4.612537444
33	4.575269698
34	4.544668777
35	4.513738798
36	4.490293612
37	4.467691636
38	4.444708292
39	4.417950827
40	4.385594705
41	4.366461742
42	4.347597812
43	4.331560985
44	4.316635626
45	4.301374483
46	4.275254513
47	4.261648589
48	4.250130489
49	4.236858612
50	4.217265415
51	4.198389819
52	4.188502627
53	4.179923131
54	4.171769169
55	4.164294775
56	4.153852841
57	4.139045712
58	4.133010789
59	4.128494888
60	4.116717664
61	4.109400319
62	4.099090628
63	4.093736392
64	4.089641591
65	4.082973231
66	4.079687767
67	4.075707221
68	4.071947691
69	4.06803669
70	4.064053324
71	4.062210963
72	4.057988655
73	4.054491099
74	4.052063421
75	4.04937623
76	4.043277397
77	4.04001775
78	4.037927091
79	4.033092995
80	4.028803593
81	4.026968646
82	4.02531652
83	4.022164344
84	4.02063323
85	4.017194712
86	4.012657202
87	4.010556014
88	4.009141158
89	4.006050809
90	4.003969357
91	4.002221209
92	3.99876164
93	3.997999672
94	3.996642249
95	3.995458465
96	3.995064183
97	3.993754612
98	3.99257662
99	3.990726742
100	3.989645409
101	3.988731991
102	3.987058759
103	3.985555572
104	3.983986981
105	3.981224321
106	3.981064252
107	3.979955768
108	3.979585399
109	3.978462446
110	3.977920635
111	3.976861129
112	3.976003271
113	3.974586902
114	3.973728355
115	3.972105569
116	3.969706032
117	3.968568355
118	3.967282526
119	3.966609892
120	3.96633045
121	3.965357771
122	3.964624997
123	3.963268732
124	3.962325336
125	3.961089761
126	3.960086123
127	3.959343025
128	3.958018886
129	3.957302344
130	3.95664057
131	3.955205592
132	3.95449455
133	3.953176198
134	3.95210823
135	3.951636748
136	3.950831704
137	3.949563919
138	3.949007195
139	3.948261906
140	3.947704257
141	3.946725121
142	3.946326089
143	3.943446763
144	3.942649429
145	3.941777588
146	3.941144318
147	3.940398725
148	3.939891884
149	3.939458991
150	3.939066786
151	3.937975206
152	3.936480382
153	3.936465472
154	3.93507859
155	3.93418697
156	3.934155014
157	3.932574301
158	3.931933142
159	3.931507367
160	3.931307661
161	3.930884113
162	3.930395131
163	3.930296653
164	3.928755622
165	3.928325925
166	3.928006488
167	3.926372104
168	3.926024768
169	3.92537642
170	3.924618795
171	3.923634235
172	3.922884581
173	3.922544303
174	3.921846723
175	3.92095483
176	3.920630545
177	3.920152755
178	3.919442764
179	3.919154103
180	3.918150045
181	3.917243172
182	3.91580326
183	3.915326113
184	3.915039604
185	3.914366097
186	3.913033403
187	3.912447091
188	3.911578514
189	3.911205158
190	3.909761697
191	3.908676663
192	3.908488712
193	3.908165433
194	3.907375838
195	3.906645513
196	3.905833465
197	3.905173911
198	3.904459047
199	3.903512354
200	3.903238956
201	3.902705992
202	3.90221264
203	3.901759854
204	3.900912016
205	3.900694751
206	3.900292513
207	3.899710742
208	3.899497426
209	3.898640267
210	3.896935621
211	3.896441241
212	3.895889553
213	3.895335997
214	3.89471156
215	3.89436204
216	3.893054551
217	3.892571026
218	3.89161812
219	3.890626778
220	3.88984481
221	3.889445969
222	3.889155602
223	3.888588356
224	3.888076546
225	3.887532969
226	3.886970243
227	3.886540411
228	3.885867231
229	3.885147078
230	3.884421535
231	3.883797335
232	3.883489606
233	3.882739607
234	3.881855982
235	3.881094459
236	3.88058097
237	3.880161272
238	3.87948707
239	3.879001674
240	3.878471393
241	3.87775977
242	3.877166912
243	3.876698722
244	3.876382048
245	3.875596018
246	3.875016657
247	3.874380443
248	3.874039049
249	3.873793314
250	3.873167304
251	3.872354969
252	3.871830424
253	3.871520381
254	3.871229496
255	3.870754174
256	3.870325451
257	3.86952789
258	3.869035914
259	3.868458962
260	3.867686577
261	3.867223381
262	3.866424672
263	3.865974275
264	3.864950083
265	3.864455934
266	3.863912963
267	3.863486238
268	3.86294464
269	3.862603556
270	3.86223031
271	3.861622783
272	3.861171547
273	3.860810337
274	3.860130222
275	3.859647665
276	3.859001412
277	3.858299446
278	3.857792063
279	3.857387059
280	3.856878157
281	3.856332662
282	3.85595544
283	3.855260021
284	3.854750412
285	3.854262662
286	3.853413794
287	3.853196325
288	3.852707624
289	3.852289088
290	3.851876615
291	3.851406835
292	3.850863147
293	3.850209959
294	3.849602483
295	3.849293531
296	3.848911125
297	3.84823578
298	3.847814421
299	3.847069157
300	3.846674213
301	3.846352662
302	3.846052162
303	3.84549205
304	3.844852592
305	3.84423839
306	3.843485525
307	3.842650337
308	3.842326156
309	3.841245669
310	3.840591807
311	3.840188918
312	3.839665775
313	3.83895813
314	3.838580267
315	3.838244541
316	3.837899015
317	3.837586703
318	3.837385347
319	3.836772311
320	3.83635908
321	3.835895613
322	3.835132272
323	3.834677093
324	3.834229359
325	3.833942009
326	3.833459021
327	3.833061025
328	3.832253383
329	3.831372789
330	3.830849782
331	3.830207171
332	3.829549722
333	3.82899272
334	3.828425193
335	3.828018862
336	3.827636257
337	3.827096076
338	3.826432391
339	3.825966226
340	3.825614415
341	3.8252582
342	3.824820384
343	3.824489667
344	3.824233171
345	3.823513481
346	3.823215413
347	3.822950085
348	3.822380309
349	3.821965644
350	3.821626809
351	3.820963604
352	3.820488663
353	3.820250903
354	3.819173513
355	3.818619682
356	3.818162159
357	3.81765786
358	3.817311595
359	3.816744821
360	3.8163121
361	3.815608707
362	3.81535143
363	3.814590522
364	3.814144272
365	3.813847806
366	3.813497028
367	3.813236152
368	3.81267146
369	3.812210045
370	3.811751052
371	3.811471236
372	3.811021026
373	3.810475277
374	3.810183298
375	3.809896196
376	3.809706576
377	3.809454807
378	3.808901333
379	3.80837504
380	3.807689934
381	3.807411853
382	3.807043685
383	3.806607112
384	3.806217298
385	3.805790608
386	3.805313278
387	3.80476748
388	3.804215938
389	3.803685464
390	3.803198354
391	3.803037103
392	3.80249038
393	3.802141666
394	3.801710099
395	3.801246642
396	3.800845615
397	3.800481841
398	3.800210348
399	3.799630882
400	3.799316523
401	3.799100469
402	3.798681144
403	3.798266405
404	3.797862019
405	3.797550414
406	3.797077087
407	3.796582757
408	3.796079902
409	3.79541932
410	3.795081891
411	3.79471958
412	3.794327341
413	3.794032707
414	3.793618166
415	3.793203201
416	3.792003581
417	3.791459277
418	3.791082363
419	3.790862509
420	3.790434694
421	3.790090695
422	3.789721197
423	3.789160785
424	3.788742478
425	3.788275493
426	3.788034444
427	3.787836062
428	3.787235583
429	3.786366593
430	3.785878539
431	3.785664122
432	3.785209391
433	3.784701346
434	3.784165722
435	3.783719157
436	3.78322794
437	3.782890192
438	3.782315887
439	3.782097005
440	3.781867393
441	3.781582986
442	3.781248972
443	3.780837695
444	3.78039858
445	3.780180387
446	3.779674866
447	3.779267743
448	3.778671625
449	3.778295488
450	3.778054342
451	3.777719346
452	3.777267794
453	3.776890286
454	3.776531279
455	3.775903811
456	3.775683457
457	3.77526309
458	3.774994384
459	3.774787973
460	3.774530248
461	3.77408684
462	3.773524728
463	3.773251195
464	3.772853315
465	3.772598932
466	3.772304509
467	3.771787856
468	3.771431306
469	3.771041892
470	3.770506511
471	3.770145091
472	3.769773834
473	3.769542941
474	3.768936653
475	3.768746763
476	3.768308207
477	3.767698855
478	3.76745178
479	3.767140243
480	3.766825483
481	3.766364545
482	3.766006223
483	3.765780185
484	3.765475517
485	3.765224468
486	3.764873577
487	3.764720773
488	3.764509484
489	3.764064722
490	3.763437117
491	3.762851431
492	3.762397298
493	3.761748711
494	3.761405476
495	3.761197395
496	3.76061612
497	3.760426074
498	3.75987293
499	3.759656126
500	3.75946297
501	3.758970897
502	3.758540481
503	3.758210227
504	3.757955699
505	3.757647685
506	3.757404168
507	3.757262489
508	3.757069101
509	3.756539597
510	3.75638819
511	3.756230037
512	3.755853851
513	3.755497523
514	3.754899255
515	3.75430478
516	3.75383055
517	3.753373906
518	3.752920151
519	3.75271485
520	3.752320539
521	3.75190838
522	3.751671652
523	3.75107758
524	3.750766016
525	3.75038208
526	3.750024086
527	3.749695209
528	3.749494016
529	3.749114461
530	3.748852761
531	3.748492987
532	3.748100376
533	3.747912677
534	3.747552456
535	3.747138784
536	3.746777756
537	3.7463971
538	3.746075121
539	3.745687078
540	3.74552425
541	3.745210033
542	3.744939326
543	3.744554947
544	3.74435688
545	3.743985749
546	3.743691512
547	3.743423396
548	3.743114624
549	3.742893688
550	3.742114422
551	3.74171546
552	3.741315081
553	3.740935968
554	3.74060855
555	3.740165144
556	3.73974538
557	3.739468728
558	3.739057852
559	3.738764802
560	3.738422043
561	3.737910356
562	3.737565793
563	3.737310438
564	3.736847287
565	3.736645985
566	3.73615991
567	3.735774136
568	3.735446471
569	3.734922981
570	3.734580644
571	3.734269341
572	3.734005311
573	3.73384792
574	3.733638325
575	3.733342045
576	3.733065843
577	3.732713498
578	3.732350089
579	3.731830488
580	3.731480192
581	3.731267774
582	3.73093626
583	3.730694318
584	3.730461196
585	3.730160961
586	3.729923515
587	3.729424365
588	3.729105404
589	3.728890408
590	3.728647756
591	3.728487963
592	3.728239518
593	3.727803232
594	3.727623375
595	3.727301063
596	3.727103384
597	3.726762103
598	3.726599523
599	3.726358215
600	3.726144309
601	3.725910034
602	3.725454974
603	3.725135217
604	3.724813101
605	3.724361459
606	3.724170684
607	3.723721775
608	3.723478015
609	3.723277763
610	3.722999667
611	3.722643894
612	3.722162797
613	3.721981498
614	3.721680448
615	3.721149872
616	3.720771091
617	3.720491445
618	3.720091423
619	3.719862332
620	3.719520049
621	3.719196846
622	3.718767637
623	3.718470555
624	3.718031256
625	3.717726567
626	3.717431079
627	3.71709116
628	3.716984044
629	3.716746386
630	3.715576331
631	3.7152764
632	3.71492572
633	3.714750173
634	3.714288343
635	3.714141421
636	3.71405694
637	3.713720562
638	3.713517005
639	3.713115135
640	3.712781925
641	3.71244782
642	3.712010114
643	3.711733564
644	3.711418774
645	3.711186562
646	3.710822239
647	3.71055572
648	3.710398452
649	3.710243039
650	3.709794301
651	3.709373312
652	3.709206273
653	3.708749149
654	3.708476492
655	3.708016063
656	3.707843456
657	3.707641483
658	3.707005139
659	3.706574939
660	3.706313447
661	3.706103268
662	3.705934332
663	3.705450558
664	3.705343811
665	3.70485812
666	3.704671613
667	3.704441271
668	3.704135374
669	3.7038299
670	3.703666672
671	3.703238162
672	3.702945433
673	3.702696603
674	3.702274884
675	3.701994143
676	3.701818751
677	3.701449486
678	3.701169921
679	3.700692574
680	3.700313088
681	3.700205903
682	3.699765043
683	3.699548531
684	3.699174878
685	3.698817866
686	3.698370813
687	3.697972845
688	3.697540888
689	3.697237255
690	3.69693134
691	3.696451604
692	3.695991472
693	3.695557108
694	3.695203471
695	3.695114956
696	3.694870142
697	3.694599059
698	3.694413064
699	3.694207519
700	3.693793753
701	3.69358449
702	3.693243789
703	3.6929247
704	3.692386694
705	3.692190392
706	3.691907087
707	3.69150651
708	3.691434817
