iter	Passed	Remaining
0	2	2686
1	4	2354
2	6	2251
3	8	2202
4	11	2210
5	13	2172
6	15	2176
7	17	2157
8	19	2147
9	21	2129
10	23	2104
11	25	2105
12	27	2077
13	29	2079
14	31	2091
15	33	2088
16	36	2090
17	38	2083
18	40	2074
19	42	2061
20	43	2050
21	45	2036
22	47	2024
23	49	2013
24	51	2003
25	53	1995
26	55	1993
27	59	2081
28	62	2100
29	65	2104
30	68	2148
31	70	2147
32	73	2148
33	75	2139
34	77	2131
35	79	2125
36	81	2116
37	83	2108
38	85	2102
39	87	2097
40	89	2097
41	91	2092
42	93	2090
43	96	2086
44	98	2082
45	100	2074
46	102	2079
47	105	2085
48	107	2085
49	110	2100
50	113	2110
51	115	2106
52	117	2097
53	119	2088
54	121	2080
55	122	2071
56	124	2066
57	126	2061
58	128	2055
59	130	2042
60	132	2039
61	134	2038
62	136	2030
63	138	2025
64	140	2020
65	142	2017
66	144	2011
67	146	2005
68	148	2000
69	150	1994
70	151	1988
71	153	1975
72	155	1978
73	157	1975
74	160	1973
75	161	1968
76	163	1964
77	165	1962
78	167	1958
79	170	1955
80	172	1952
81	174	1955
82	176	1951
83	178	1947
84	180	1942
85	182	1939
86	184	1938
87	186	1936
88	188	1930
89	190	1926
90	192	1927
91	195	1934
92	198	1932
93	200	1932
94	202	1930
95	204	1930
96	206	1923
97	208	1921
98	211	1922
99	213	1921
100	215	1916
101	217	1914
102	219	1910
103	221	1906
104	223	1903
105	225	1898
106	226	1889
107	228	1888
108	230	1882
109	232	1882
110	234	1879
111	236	1877
112	238	1874
113	241	1875
114	243	1871
115	245	1867
116	247	1865
117	249	1863
118	251	1860
119	253	1858
120	254	1849
121	256	1846
122	258	1842
123	260	1840
124	262	1836
125	264	1833
126	266	1831
127	268	1826
128	270	1825
129	272	1822
130	274	1820
131	276	1819
132	279	1822
133	282	1823
134	285	1826
135	286	1822
136	288	1818
137	290	1815
138	292	1813
139	294	1810
140	296	1807
141	298	1803
142	300	1800
143	302	1796
144	304	1793
145	306	1791
146	308	1789
147	310	1786
148	312	1783
149	314	1780
150	316	1777
151	318	1775
152	320	1776
153	321	1767
154	324	1767
155	326	1764
156	326	1755
157	328	1752
158	330	1749
159	332	1745
160	334	1742
161	336	1739
162	338	1736
163	339	1728
164	341	1727
165	343	1724
166	345	1722
167	347	1719
168	349	1718
169	352	1719
170	354	1718
171	356	1716
172	359	1716
173	361	1714
174	363	1711
175	364	1707
176	366	1704
177	368	1702
178	371	1702
179	373	1700
180	375	1699
181	377	1698
182	379	1695
183	382	1694
184	384	1691
185	385	1688
186	387	1686
187	389	1684
188	391	1681
189	393	1678
190	395	1675
191	397	1672
192	399	1669
193	401	1668
194	403	1665
195	406	1666
196	440	1796
197	446	1809
198	453	1823
199	462	1849
200	468	1862
201	473	1870
202	480	1884
203	485	1893
204	490	1900
205	496	1912
206	502	1924
207	507	1931
208	518	1961
209	521	1960
210	524	1959
211	532	1980
212	535	1977
213	537	1974
214	539	1970
215	542	1968
216	544	1964
217	546	1961
218	548	1957
219	551	1954
220	553	1950
221	555	1947
222	557	1943
223	559	1938
224	561	1934
225	563	1931
226	566	1927
227	568	1923
228	570	1919
229	572	1916
230	574	1913
231	577	1910
232	579	1906
233	581	1903
234	583	1900
235	585	1895
236	587	1890
237	590	1890
238	592	1886
239	595	1884
240	597	1882
241	600	1880
242	603	1879
243	605	1875
244	607	1872
245	610	1869
246	611	1865
247	613	1861
248	615	1857
249	618	1854
250	620	1850
251	622	1846
252	624	1843
253	626	1840
254	628	1837
255	631	1834
256	633	1830
257	635	1827
258	637	1823
259	639	1820
260	641	1817
261	644	1815
262	646	1812
263	649	1809
264	651	1807
265	653	1803
266	655	1800
267	658	1797
268	660	1793
269	662	1789
270	664	1786
271	666	1784
272	669	1781
273	671	1778
274	673	1776
275	675	1773
276	678	1769
277	680	1766
278	681	1761
279	683	1758
280	685	1755
281	688	1752
282	690	1748
283	692	1746
284	694	1742
285	696	1738
286	698	1734
287	700	1731
288	702	1727
289	704	1723
290	706	1720
291	708	1716
292	710	1714
293	713	1712
294	715	1709
295	717	1705
296	719	1703
297	721	1699
298	723	1695
299	725	1692
300	727	1688
301	729	1685
302	731	1682
303	734	1682
304	738	1683
305	740	1679
306	742	1676
307	744	1673
308	746	1669
309	748	1666
310	751	1664
311	753	1661
312	755	1657
313	757	1654
314	759	1651
315	761	1649
316	763	1645
317	765	1642
318	767	1638
319	769	1635
320	771	1632
321	773	1628
322	775	1625
323	778	1623
324	780	1620
325	782	1616
326	784	1614
327	787	1613
328	789	1610
329	792	1610
330	795	1608
331	798	1606
332	800	1604
333	803	1601
334	805	1598
335	807	1595
336	809	1592
337	811	1590
338	815	1589
339	817	1586
340	819	1584
341	822	1581
342	824	1578
343	825	1575
344	827	1571
345	829	1568
346	831	1565
347	833	1562
348	836	1559
349	838	1556
350	840	1553
351	842	1550
352	844	1547
353	846	1544
354	848	1541
